booking_id,guest_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,num_guests,booking_status
1,5318,33,1684,2024-10-21,2024-11-07,2024-11-10,4,completed
2,3159,57,2916,2021-01-01,2021-01-08,2021-01-15,2,completed
3,3299,26,1317,2021-07-30,2021-09-02,2021-09-03,2,confirmed
4,6836,6,268,2023-03-26,2023-04-01,2023-04-02,3,completed
5,5221,47,2436,2024-09-03,2024-11-02,2024-11-05,4,completed
6,8565,26,1286,2022-10-12,2022-11-03,2022-11-08,3,completed
7,1637,12,595,2023-08-22,2023-08-22,2023-08-25,4,confirmed
8,8582,29,1474,2023-11-08,2023-12-04,2023-12-09,2,completed
9,4771,44,2239,2022-12-09,2023-01-02,2023-01-03,3,completed
10,1746,10,455,2022-05-25,2022-06-10,2022-06-17,4,confirmed
11,4852,1,10,2025-06-18,2025-06-30,2025-07-05,4,cancelled
12,8756,28,1392,2023-09-24,2023-11-16,2023-11-21,4,completed
13,687,47,2412,2023-07-01,2023-07-16,2023-07-17,1,completed
14,4888,52,2694,2022-06-20,2022-07-03,2022-07-05,4,completed
15,996,12,568,2025-05-06,2025-06-21,2025-06-25,2,confirmed
16,499,39,2009,2025-02-21,2025-03-10,2025-03-11,1,completed
17,9567,50,2593,2024-06-22,2024-07-30,2024-07-31,4,completed
18,9435,57,2932,2021-09-13,2021-10-04,2021-10-09,3,completed
19,1795,14,717,2023-02-04,2023-03-09,2023-03-13,3,confirmed
20,693,30,1516,2022-12-02,2022-12-26,2022-12-31,4,completed
21,4902,33,1657,2024-02-08,2024-03-19,2024-03-21,2,completed
22,9389,17,825,2025-11-02,2025-12-25,2025-12-27,1,completed
23,2300,43,2222,2021-01-01,2021-01-03,2021-01-05,2,completed
24,726,52,2672,2021-06-01,2021-07-04,2021-07-06,2,completed
25,5442,34,1736,2024-06-03,2024-06-04,2024-06-09,3,completed
26,2517,3,127,2021-06-19,2021-07-17,2021-07-20,4,completed
27,4681,35,1783,2023-07-09,2023-08-01,2023-08-03,1,completed
28,5059,5,231,2023-03-25,2023-05-22,2023-05-26,2,completed
29,3301,1,33,2023-11-28,2023-12-06,2023-12-11,3,completed
30,8520,56,2871,2024-09-28,2024-11-27,2024-11-30,4,completed
31,2608,16,818,2025-02-21,2025-04-19,2025-04-21,3,completed
32,8989,25,1250,2021-10-14,2021-12-06,2021-12-09,2,completed
33,1617,55,2832,2022-01-06,2022-01-30,2022-02-03,2,completed
34,1417,24,1175,2025-05-25,2025-07-21,2025-07-24,1,completed
35,7680,35,1788,2021-10-25,2021-11-03,2021-11-05,3,completed
36,5569,37,1893,2023-03-23,2023-04-29,2023-05-03,4,completed
