payment_id,booking_id,payment_date,amount,payment_method,payment_status
1,1,2024-10-21,576.85,cash,paid
2,2,2021-01-04,1286.01,paypal,paid
3,3,2021-08-02,108.46,debit_card,paid
4,4,2023-03-26,327.38,paypal,paid
5,5,2024-09-06,273.28,cash,paid
6,6,2022-10-12,1520.04,credit_card,paid
7,7,2023-08-23,1127.15,credit_card,paid
8,8,2023-11-10,1316.09,debit_card,paid
9,9,2022-12-11,168.0,credit_card,paid
10,10,2022-05-28,768.83,credit_card,paid
11,11,2025-06-18,1013.85,credit_card,refunded
12,12,2023-09-27,1255.81,cash,paid
13,13,2023-07-04,203.28,cash,paid
14,14,2022-06-23,814.52,credit_card,paid
15,15,2025-05-06,903.5,paypal,pending
16,16,2025-02-24,332.96,cash,paid
17,17,2024-06-24,339.61,cash,paid
18,18,2021-09-13,1522.73,debit_card,paid
19,19,2023-02-06,832.82,paypal,paid
20,20,2022-12-05,2602.91,credit_card,paid
21,21,2024-02-08,418.48,paypal,paid
22,22,2025-11-05,741.42,debit_card,paid
23,23,2021-01-02,539.22,debit_card,paid
24,24,2021-06-04,394.89,cash,paid
25,25,2024-06-06,726.35,credit_card,paid
26,26,2021-06-19,284.82,debit_card,paid
27,27,2023-07-09,413.19,debit_card,paid
28,28,2023-03-28,1221.3,paypal,paid
29,29,2023-12-01,641.39,cash,paid
30,30,2024-10-01,644.25,debit_card,paid
31,31,2025-02-23,689.93,credit_card,paid
32,32,2021-10-15,518.59,credit_card,paid
33,33,2022-01-06,1412.01,credit_card,paid
34,34,2025-05-28,1565.45,cash,paid
35,35,2021-10-27,174.31,debit_card,paid
36,36,2023-03-26,599.28,paypal,paid
37,37,2023-07-21,796.41,debit_card,paid
38,38,2024-03-24,139.28,paypal,paid
39,39,2024-02-06,117.39,credit_card,paid
40,40,2025-10-21,959.62,credit_card,paid
41,41,2022-07-04,1819.48,paypal,paid
42,42,2023-04-22,416.84,credit_card,refunded
43,43,2024-10-10,193.92,credit_card,paid
44,44,2024-03-10,480.8,cash,paid
45,45,2025-03-18,828.99,debit_card,refunded
46,46,2023-11-02,357.01,debit_card,paid
47,47,2023-03-13,256.41,cash,paid
48,48,2025-05-31,1037.43,credit_card,paid
49,49,2021-06-21,271.22,credit_card,paid
50,50,2021-10-01,930.77,cash,paid
51,51,2023-01-12,734.66,cash,paid
52,52,2024-03-19,111.14,credit_card,paid
53,53,2022-02-21,898.33,debit_card,paid
54,54,2021-03-17,191.47,cash,paid
55,55,2024-05-12,250.48,paypal,paid
56,56,2024-09-26,428.41,credit_card,paid
57,57,2025-07-25,1669.55,debit_card,paid
58,58,2024-05-28,224.29,debit_card,paid
59,59,2024-07-15,548.83,cash,paid
60,60,2025-08-12,927.16,cash,paid
61,61,2021-04-13,969.9,cash,paid
62,62,2024-06-29,1197.62,paypal,pending
63,63,2022-10-03,615.88,credit_card,paid
64,64,2023-05-22,3263.42,paypal,paid
65,65,2025-06-20,2032.03,paypal,paid
66,66,2023-08-11,446.6,cash,paid
67,67,2022-08-30,522.4,debit_card,paid
68,68,2025-02-20,812.24,paypal,refunded
69,69,2022-11-23,561.24,paypal,refunded
70,70,2023-10-08,535.51,debit_card,paid
71,71,2025-07-24,143.08,debit_card,paid
72,72,2022-04-05,145.9,credit_card,paid
73,73,2024-06-06,944.77,paypal,pending
74,74,2022-01-10,786.64,cash,paid
75,75,2024-12-15,147.58,cash,paid
76,76,2021-05-21,2023.78,debit_card,paid
77,77,2021-01-02,582.67,cash,refunded
78,78,2021-06-08,374.72,paypal,paid
79,79,2025-08-13,826.07,cash,paid
80,80,2022-01-04,448.66,cash,paid
81,81,2024-12-09,1368.17,credit_card,paid
82,82,2025-05-28,728.33,debit_card,paid
83,83,2023-02-17,419.21,credit_card,paid
84,84,2023-06-15,244.14,paypal,paid
85,85,2021-05-20,113.98,cash,paid
86,86,2021-08-14,781.72,paypal,pending
87,87,2021-05-16,568.07,paypal,paid
88,88,2023-08-12,969.73,paypal,paid
89,89,2022-10-14,83.75,credit_card,paid
90,90,2021-02-14,1862.9,credit_card,refunded
91,91,2025-09-20,444.03,debit_card,paid
92,92,2023-02-06,1128.86,cash,paid
93,93,2023-01-13,623.17,credit_card,paid
94,94,2024-06-17,170.37,debit_card,paid
95,95,2023-01-24,1240.95,debit_card,paid
96,96,2022-01-30,1876.79,paypal,paid
97,97,2022-10-21,155.16,cash,paid
98,98,2025-10-31,593.95,cash,paid
99,99,2023-08-06,1039.31,credit_card,paid
100,100,2023-01-20,691.34,cash,paid
101,101,2021-07-07,1080.61,credit_card,paid
102,102,2022-01-18,347.02,paypal,paid
103,103,2022-07-08,868.95,credit_card,paid
104,104,2021-02-28,805.22,paypal,paid
105,105,2023-09-06,1744.0,debit_card,paid
106,106,2021-04-16,570.79,debit_card,paid
107,107,2025-05-10,153.66,credit_card,paid
108,108,2024-06-21,695.33,credit_card,paid
109,109,2023-03-04,369.96,cash,paid
110,110,2022-03-31,537.78,cash,paid
111,111,2022-02-06,82.48,cash,paid
112,112,2023-04-26,1764.7,credit_card,paid
