review_id,booking_id,guest_id,rating,review_date,comment
1,36986,8946,5,2022-12-14,Perfect for a weekend getaway.
2,21530,1582,3,2022-02-20,"Would not recommend, poor housekeeping."
3,33953,4825,4,2022-09-27,"Would not recommend, poor housekeeping."
4,15205,1618,3,2023-03-11,"Would not recommend, poor housekeeping."
5,54732,3922,3,2021-03-14,"Would not recommend, poor housekeeping."
6,6564,5474,2,2024-05-17,Room was clean and staff were friendly.
7,40845,7972,5,2024-02-04,Perfect for a weekend getaway.
8,4044,3692,4,2025-10-23,Excellent service from the front desk.
9,14356,8545,3,2023-11-07,Excellent service from the front desk.
10,21157,1429,3,2021-09-17,Room smelled a bit musty.
11,15348,7017,4,2023-10-19,"Would not recommend, poor housekeeping."
12,42345,131,3,2021-02-25,Room smelled a bit musty.
13,13565,2821,5,2025-07-07,Perfect for a weekend getaway.
14,9980,7095,4,2024-11-23,Room smelled a bit musty.
15,37671,5836,3,2024-05-17,Room smelled a bit musty.
16,14629,3877,5,2021-04-25,"Would not recommend, poor housekeeping."
17,43152,5111,3,2025-12-13,"Would not recommend, poor housekeeping."
18,13193,93,3,2023-05-01,Room smelled a bit musty.
19,48775,8873,4,2021-09-04,Bed was uncomfortable but view was great.
20,3487,7522,5,2022-12-30,Check-in took too long.
21,3881,9500,5,2025-09-28,Bed was uncomfortable but view was great.
22,54534,4205,1,2023-04-10,Excellent service from the front desk.
23,5679,7759,5,2025-04-21,Excellent service from the front desk.
24,17506,3859,5,2025-12-18,Perfect for a weekend getaway.
25,50264,1593,3,2022-05-25,Room was clean and staff were friendly.
26,42376,4068,5,2024-01-24,Room was clean and staff were friendly.
27,36006,1771,5,2025-08-27,Room was clean and staff were friendly.
28,21395,3889,5,2024-08-16,Loved the location and amenities.
29,18991,5023,5,2024-02-15,Loved the location and amenities.
30,6299,8894,5,2022-12-06,Room smelled a bit musty.
31,30281,5042,5,2025-11-25,Room smelled a bit musty.
32,8511,1531,3,2022-10-16,Loved the location and amenities.
33,34351,8023,5,2024-09-25,"Would not recommend, poor housekeeping."
34,26985,6980,5,2024-06-19,Excellent service from the front desk.
35,46726,4582,4,2025-05-19,Loved the location and amenities.
36,4932,9173,5,2021-06-23,Loved the location and amenities.
37,28109,2801,5,2021-07-06,"Great stay, would come back again."
38,48558,7038,5,2025-05-10,"Would not recommend, poor housekeeping."
39,6741,2570,2,2025-10-09,Check-in took too long.
40,52075,7805,4,2021-09-27,Perfect for a weekend getaway.
41,38848,986,3,2023-05-31,Bed was uncomfortable but view was great.
42,52412,6174,2,2021-11-11,Room was clean and staff were friendly.
43,43167,1236,5,2022-04-30,Perfect for a weekend getaway.
44,49992,5550,4,2021-11-23,"Would not recommend, poor housekeeping."
45,2642,7543,4,2022-11-17,Check-in took too long.
46,43424,5235,4,2025-11-09,Perfect for a weekend getaway.
47,43399,9580,1,2024-05-13,Bed was uncomfortable but view was great.
48,7336,7079,4,2023-05-18,"Great stay, would come back again."
49,16310,7843,5,2022-09-30,"Would not recommend, poor housekeeping."
50,32369,9615,3,2023-01-25,"Would not recommend, poor housekeeping."
51,4299,8159,4,2021-04-27,"Average experience, nothing special."
52,45899,6763,2,2026-01-01,Loved the location and amenities.
53,29644,6915,4,2023-10-23,Excellent service from the front desk.
54,50224,2650,4,2024-10-06,Loved the location and amenities.
55,33674,3766,3,2023-05-06,Loved the location and amenities.
56,12004,7552,1,2023-09-12,Room was clean and staff were friendly.
57,16963,5719,5,2024-07-08,Room smelled a bit musty.
58,43724,1401,1,2022-10-17,Check-in took too long.
59,35282,7760,5,2025-03-22,"Great stay, would come back again."
60,8356,7410,5,2022-07-21,"Great stay, would come back again."
61,11468,8293,1,2025-08-18,Room smelled a bit musty.
62,50391,7405,3,2024-07-01,Excellent service from the front desk.
63,52144,7630,5,2025-10-12,"Average experience, nothing special."
64,13958,9173,3,2025-11-25,Loved the location and amenities.
65,14444,893,4,2021-09-27,Room was clean and staff were friendly.
66,2979,3045,4,2024-12-24,"Would not recommend, poor housekeeping."
67,33608,1932,4,2024-04-13,"Would not recommend, poor housekeeping."
68,50239,8125,4,2023-07-11,Excellent service from the front desk.
69,43594,6675,1,2023-05-26,Bed was uncomfortable but view was great.
70,28336,7885,3,2024-03-02,"Great stay, would come back again."
71,42682,5219,5,2024-01-02,Room smelled a bit musty.
72,53522,6407,4,2022-10-09,Check-in took too long.
73,38419,4683,5,2022-06-10,Excellent service from the front desk.
74,7375,7960,1,2024-02-16,Perfect for a weekend getaway.
75,15463,3060,1,2025-09-30,Perfect for a weekend getaway.
76,17408,8622,4,2023-10-15,Bed was uncomfortable but view was great.
77,31807,8211,4,2024-05-03,"Average experience, nothing special."
78,16402,5299,5,2024-01-10,"Would not recommend, poor housekeeping."
79,8096,9876,5,2025-12-19,"Average experience, nothing special."
80,48521,6064,5,2022-02-11,"Great stay, would come back again."
81,52849,9378,5,2024-10-10,Room smelled a bit musty.
82,29623,185,5,2024-04-09,Room was clean and staff were friendly.
83,38045,9527,5,2025-12-25,Room smelled a bit musty.
84,2075,3409,3,2021-09-02,Room smelled a bit musty.
85,38613,4182,5,2022-06-25,Loved the location and amenities.
86,46940,6584,3,2025-10-22,Perfect for a weekend getaway.
87,9247,5363,4,2021-08-15,Room was clean and staff were friendly.
88,7322,7013,5,2022-11-10,Loved the location and amenities.
89,6566,1303,3,2025-05-26,"Would not recommend, poor housekeeping."
90,42659,3487,4,2024-02-06,Excellent service from the front desk.
91,44354,5829,4,2022-06-14,Check-in took too long.
92,11352,8718,2,2024-02-10,Loved the location and amenities.
93,2289,2697,3,2024-10-27,Loved the location and amenities.
94,43224,1290,3,2021-11-28,Excellent service from the front desk.
95,11200,2347,1,2021-05-09,"Would not recommend, poor housekeeping."
96,2213,8276,4,2023-09-08,Room was clean and staff were friendly.
97,34022,7041,5,2022-12-03,"Average experience, nothing special."
98,17840,655,4,2021-10-14,Check-in took too long.
99,51110,2771,2,2025-08-10,Perfect for a weekend getaway.
100,17752,3522,3,2025-07-14,Excellent service from the front desk.
101,8639,7253,5,2025-09-05,Excellent service from the front desk.
102,39208,3310,4,2022-09-13,Perfect for a weekend getaway.
103,23165,7320,2,2022-11-10,Loved the location and amenities.
104,13853,3603,4,2024-09-29,"Average experience, nothing special."
105,47610,673,5,2025-12-09,"Average experience, nothing special."
106,21782,9994,5,2025-04-09,Check-in took too long.
107,25323,7430,4,2024-11-10,"Great stay, would come back again."
108,36693,9953,4,2022-06-18,"Great stay, would come back again."
109,40010,7005,2,2023-09-07,Check-in took too long.
110,28432,6110,4,2023-11-25,Loved the location and amenities.
111,12963,4473,3,2021-01-29,"Great stay, would come back again."
112,17466,9308,5,2024-07-01,Room was clean and staff were friendly.
113,15827,6090,5,2021-04-17,"Average experience, nothing special."
114,32214,8374,4,2024-05-05,Room was clean and staff were friendly.
115,16671,7069,4,2025-05-29,"Would not recommend, poor housekeeping."
116,51366,9651,3,2025-07-24,Perfect for a weekend getaway.
117,11423,1994,5,2025-07-03,Check-in took too long.
118,11948,2068,4,2021-11-16,Perfect for a weekend getaway.
119,13092,7045,5,2025-11-11,"Would not recommend, poor housekeeping."
120,40781,3947,3,2024-03-24,Check-in took too long.
121,37576,3217,3,2023-04-03,Perfect for a weekend getaway.
122,7099,9554,5,2021-11-14,Room smelled a bit musty.
123,48557,9963,5,2025-10-22,Check-in took too long.
124,26858,4164,3,2022-11-24,Loved the location and amenities.
125,37015,8173,4,2025-09-28,Bed was uncomfortable but view was great.
126,16583,450,4,2022-10-15,Loved the location and amenities.
127,43851,7708,5,2024-12-29,Room smelled a bit musty.
128,6982,1518,2,2025-08-03,Loved the location and amenities.
129,25864,7543,5,2022-01-26,"Average experience, nothing special."
130,51472,4612,4,2022-01-04,Check-in took too long.
131,33059,6849,4,2024-03-07,Loved the location and amenities.
132,8186,200,5,2022-03-09,Loved the location and amenities.
133,6073,3085,4,2024-07-23,Excellent service from the front desk.
134,14301,4020,4,2024-09-12,Loved the location and amenities.
135,45851,6938,4,2023-10-01,Room was clean and staff were friendly.
136,48433,1308,5,2022-07-14,Perfect for a weekend getaway.
137,10416,1552,3,2023-05-19,"Would not recommend, poor housekeeping."
138,19318,9353,4,2026-01-01,Room was clean and staff were friendly.
139,2620,6560,4,2023-12-17,Room smelled a bit musty.
140,19497,8053,4,2025-06-12,Perfect for a weekend getaway.
141,8409,53,4,2024-08-18,Perfect for a weekend getaway.
142,11442,9223,4,2025-12-28,Room was clean and staff were friendly.
143,33849,608,4,2021-05-02,"Great stay, would come back again."
144,31718,3213,5,2021-11-15,"Would not recommend, poor housekeeping."
145,14121,2172,4,2024-03-28,Excellent service from the front desk.
146,17565,5770,4,2024-04-21,Room smelled a bit musty.
147,1338,2984,5,2024-04-26,Bed was uncomfortable but view was great.
148,11871,3764,5,2022-11-08,Room was clean and staff were friendly.
149,44843,7238,4,2024-09-09,"Would not recommend, poor housekeeping."
150,37825,5823,4,2023-03-08,Bed was uncomfortable but view was great.
151,7248,1762,4,2022-09-09,Room was clean and staff were friendly.
152,15467,920,2,2022-04-11,Check-in took too long.
153,22334,5208,4,2023-10-06,Check-in took too long.
154,48908,9017,3,2025-11-04,Room was clean and staff were friendly.
155,44576,7959,4,2024-07-31,Bed was uncomfortable but view was great.
156,524,2916,4,2023-06-24,"Average experience, nothing special."
157,4134,6768,3,2025-01-01,"Average experience, nothing special."
158,39513,8766,3,2025-08-21,Excellent service from the front desk.
159,41238,6556,4,2023-06-07,Loved the location and amenities.
160,29859,3742,3,2022-10-13,"Would not recommend, poor housekeeping."
161,33717,3304,4,2024-11-28,"Great stay, would come back again."
162,48193,3716,4,2025-12-07,Room was clean and staff were friendly.
163,11309,8241,5,2024-04-10,Perfect for a weekend getaway.
164,36748,9375,5,2025-11-02,Check-in took too long.
165,35542,9485,5,2021-02-20,"Would not recommend, poor housekeeping."
166,30955,3758,4,2023-11-26,Perfect for a weekend getaway.
167,31563,7089,4,2021-08-22,Bed was uncomfortable but view was great.
168,35466,5398,5,2025-12-09,Room smelled a bit musty.
169,11111,6969,5,2025-07-12,Check-in took too long.
170,35160,9817,3,2022-02-04,Bed was uncomfortable but view was great.
171,12948,9441,4,2022-12-21,"Great stay, would come back again."
172,39086,6599,4,2024-09-25,Perfect for a weekend getaway.
173,1476,9079,5,2023-11-10,Room smelled a bit musty.
174,44822,421,5,2025-11-16,Room was clean and staff were friendly.
175,42003,1052,3,2024-03-11,Perfect for a weekend getaway.
176,32861,6708,4,2024-02-28,Room smelled a bit musty.
177,11322,2752,4,2025-11-27,"Would not recommend, poor housekeeping."
178,12567,5519,5,2022-02-25,"Great stay, would come back again."
179,43548,5671,2,2024-07-17,"Average experience, nothing special."
180,13510,4948,1,2025-03-07,Perfect for a weekend getaway.
181,19902,6597,4,2023-03-27,"Great stay, would come back again."
182,39712,2607,5,2022-12-28,Excellent service from the front desk.
183,25865,942,1,2025-10-15,Room smelled a bit musty.
184,45164,6771,4,2021-07-16,Room was clean and staff were friendly.
185,19107,7556,3,2023-08-11,"Great stay, would come back again."
186,23080,6966,4,2023-09-26,"Would not recommend, poor housekeeping."
187,763,1882,4,2022-05-02,Bed was uncomfortable but view was great.
188,39000,1042,5,2025-02-13,Room was clean and staff were friendly.
189,11158,1171,1,2021-06-09,Perfect for a weekend getaway.
190,25870,4551,5,2022-03-11,"Would not recommend, poor housekeeping."
191,10714,3729,5,2025-01-11,Check-in took too long.
192,54437,465,5,2022-05-15,Room smelled a bit musty.
193,15535,3167,4,2021-06-21,"Great stay, would come back again."
194,36793,6060,5,2022-01-22,Loved the location and amenities.
195,53681,2527,5,2024-03-29,Loved the location and amenities.
196,18932,4455,5,2024-07-21,Room was clean and staff were friendly.
197,8776,9992,5,2022-01-22,Room was clean and staff were friendly.
198,36202,9250,1,2025-06-05,"Great stay, would come back again."
199,34486,170,3,2022-05-13,Perfect for a weekend getaway.
200,390,8125,4,2022-02-15,Check-in took too long.
201,21648,5610,2,2022-06-12,"Would not recommend, poor housekeeping."
202,7920,8935,5,2023-12-09,Excellent service from the front desk.
203,10881,9154,4,2023-11-21,Bed was uncomfortable but view was great.
204,38290,4955,4,2021-02-12,Room was clean and staff were friendly.
205,4269,5661,3,2023-07-14,"Would not recommend, poor housekeeping."
206,13333,2074,1,2022-11-19,"Great stay, would come back again."
207,31096,3418,5,2021-01-29,Check-in took too long.
208,11804,713,1,2021-12-13,Room smelled a bit musty.
209,34637,7854,5,2021-05-16,Excellent service from the front desk.
210,9878,8554,5,2023-05-12,"Average experience, nothing special."
211,20996,7790,4,2025-05-28,"Average experience, nothing special."
212,30267,7743,5,2022-10-25,"Average experience, nothing special."
213,34527,865,1,2025-04-17,Loved the location and amenities.
214,506,4082,1,2021-12-31,Bed was uncomfortable but view was great.
215,1448,443,1,2025-07-21,Room smelled a bit musty.
216,7505,1572,4,2025-07-06,"Would not recommend, poor housekeeping."
217,7843,5926,2,2025-09-19,Loved the location and amenities.
218,33922,1609,4,2025-08-10,Room was clean and staff were friendly.
219,46050,6910,5,2022-01-24,Excellent service from the front desk.
220,6355,3333,3,2021-04-16,Loved the location and amenities.
221,11310,8139,3,2025-12-21,"Would not recommend, poor housekeeping."
222,38104,6773,4,2021-11-04,"Average experience, nothing special."
223,21427,7721,3,2025-12-22,Room smelled a bit musty.
224,27007,8807,5,2021-10-15,Excellent service from the front desk.
225,19631,8806,3,2024-12-28,"Would not recommend, poor housekeeping."
226,32868,3632,4,2024-07-08,Perfect for a weekend getaway.
227,8805,452,5,2021-11-21,Bed was uncomfortable but view was great.
228,18393,7324,5,2024-09-06,Excellent service from the front desk.
229,40753,2159,4,2022-08-08,Excellent service from the front desk.
230,17720,9940,4,2023-01-21,"Average experience, nothing special."
231,4064,7194,5,2023-02-18,Perfect for a weekend getaway.
232,51390,5766,4,2023-10-04,Excellent service from the front desk.
233,54288,2089,4,2025-10-21,Excellent service from the front desk.
234,23944,1649,3,2024-06-04,"Would not recommend, poor housekeeping."
235,30001,758,4,2023-06-30,"Average experience, nothing special."
236,29896,5199,4,2023-04-07,Room smelled a bit musty.
237,42078,4960,2,2024-09-27,Loved the location and amenities.
238,20469,8256,2,2024-02-02,"Would not recommend, poor housekeeping."
239,44616,5454,1,2025-03-19,"Great stay, would come back again."
