room_type_id,hotel_id,type_name,base_price,max_occupancy
1,1,Executive Suite,358.65,4
2,1,Deluxe,187.54,2
3,1,Double,126.81,2
4,2,Family Room,267.83,6
5,2,Single,96.56,1
6,2,Executive Suite,379.24,4
7,2,Double,110.51,2
8,3,Single,91.56,1
9,3,Double,116.48,2
10,3,Executive Suite,494.37,4
11,3,Deluxe,212.01,2
12,3,Suite,259.06,4
13,4,Executive Suite,365.32,4
14,4,Family Room,184.59,6
15,4,Suite,317.5,4
16,4,Single,106.19,1
17,4,Deluxe,223.12,2
18,5,Suite,274.04,4
19,5,Executive Suite,427.35,4
20,5,Single,85.1,1
21,6,Single,102.64,1
22,6,Double,152.98,2
23,6,Deluxe,225.32,2
24,6,Suite,289.35,4
25,7,Double,159.7,2
26,7,Executive Suite,423.12,4
27,7,Deluxe,198.52,2
28,8,Family Room,248.8,6
29,8,Single,80.76,1
30,8,Deluxe,234.19,2
31,9,Family Room,260.57,6
32,9,Double,136.28,2
33,9,Deluxe,231.88,2
34,9,Suite,328.51,4
35,10,Single,109.1,1
36,10,Suite,325.15,4
37,10,Double,116.49,2
38,10,Family Room,235.49,6
39,11,Deluxe,213.81,2
40,11,Single,81.05,1
41,11,Double,136.68,2
42,11,Executive Suite,445.63,4
43,11,Family Room,253.12,6
44,12,Executive Suite,377.81,4
45,12,Suite,368.78,4
46,12,Deluxe,151.13,2
47,12,Family Room,220.87,6
48,13,Suite,299.84,4
49,13,Double,131.93,2
50,13,Family Room,200.4,6
51,13,Deluxe,185.11,2
52,14,Single,94.33,1
53,14,Executive Suite,496.99,4
54,14,Family Room,189.97,6
55,14,Deluxe,217.32,2
56,15,Deluxe,210.71,2
57,15,Family Room,183.55,6
58,15,Executive Suite,424.97,4
59,15,Double,110.0,2
60,15,Suite,276.26,4
61,16,Suite,339.05,4
62,16,Single,119.48,1
63,16,Deluxe,183.78,2
64,16,Family Room,244.51,6
65,17,Executive Suite,343.66,4
66,17,Single,119.61,1
