room_id,hotel_id,room_type_id,room_number,floor,status
1,1,3,900,9,available
2,1,2,201,2,available
3,1,1,602,6,occupied
4,1,3,1003,10,available
5,1,1,1104,11,available
6,1,3,805,8,available
7,1,3,1006,10,available
8,1,1,107,1,available
9,1,2,908,9,available
10,1,2,209,2,available
11,1,3,210,2,available
12,1,3,711,7,occupied
13,1,1,1012,10,available
14,1,1,913,9,available
15,1,1,614,6,available
16,1,3,515,5,available
17,1,2,1216,12,available
18,1,1,1217,12,occupied
19,1,2,618,6,occupied
20,1,2,1219,12,occupied
21,1,1,600,6,available
22,1,2,601,6,available
23,1,3,1202,12,available
24,1,3,1203,12,occupied
25,1,1,204,2,available
26,1,2,705,7,occupied
27,1,1,906,9,available
28,1,3,607,6,available
29,1,2,108,1,maintenance
30,1,2,909,9,available
31,1,3,610,6,available
32,1,3,211,2,available
33,1,3,212,2,available
34,1,3,213,2,available
35,1,2,1014,10,available
36,1,1,215,2,occupied
37,1,2,516,5,available
38,1,3,317,3,available
39,1,1,318,3,available
40,1,2,819,8,available
41,1,3,1200,12,occupied
42,1,2,101,1,available
43,1,2,102,1,available
44,2,4,100,1,available
45,2,7,301,3,available
46,2,5,1002,10,available
47,2,6,903,9,available
48,2,5,1004,10,occupied
49,2,5,405,4,occupied
50,2,5,506,5,available
51,2,4,907,9,available
52,2,4,308,3,available
53,2,4,609,6,occupied
54,2,5,1110,11,available
55,2,6,311,3,available
56,2,6,412,4,occupied
57,2,5,613,6,available
58,2,7,214,2,occupied
59,2,7,115,1,available
60,2,5,716,7,available
61,2,7,717,7,available
62,2,7,1018,10,occupied
63,2,4,319,3,available
64,2,4,300,3,occupied
65,2,4,801,8,occupied
66,2,6,1202,12,maintenance
67,2,7,403,4,available
68,2,4,904,9,available
69,2,6,905,9,available
70,2,7,106,1,available
71,2,7,707,7,maintenance
72,2,4,608,6,available
73,2,6,209,2,available
74,2,6,410,4,maintenance
75,2,4,1111,11,available
76,2,7,812,8,available
77,2,6,1213,12,available
78,2,6,114,1,available
79,2,5,315,3,available
80,2,5,916,9,available
81,2,7,117,1,available
82,2,5,1218,12,available
83,2,6,1019,10,available
84,2,5,700,7,available
85,2,5,1201,12,occupied
86,2,5,602,6,occupied
87,2,4,303,3,available
88,2,5,504,5,available
89,2,6,505,5,available
90,2,4,106,1,available
91,2,7,107,1,occupied
92,2,5,708,7,available
93,2,7,1009,10,occupied
94,2,5,310,3,available
95,2,6,411,4,available
96,2,4,212,2,maintenance
97,2,7,713,7,occupied
98,3,11,300,3,occupied
99,3,8,501,5,available
100,3,10,302,3,available
101,3,12,603,6,maintenance
102,3,8,804,8,available
103,3,12,405,4,available
104,3,12,306,3,occupied
105,3,9,407,4,available
106,3,8,1208,12,available
107,3,12,209,2,available
108,3,10,310,3,occupied
109,3,10,611,6,occupied
110,3,11,1112,11,available
111,3,12,1013,10,maintenance
112,3,10,314,3,available
113,3,10,1115,11,available
114,3,8,1216,12,occupied
115,3,11,1117,11,available
116,3,9,318,3,available
117,3,8,419,4,available
118,3,10,100,1,available
119,3,11,601,6,available
120,3,12,702,7,available
121,3,9,803,8,available
122,3,12,804,8,available
123,3,10,1105,11,occupied
124,3,10,606,6,maintenance
125,3,9,507,5,available
126,3,11,908,9,available
127,3,8,1109,11,occupied
128,3,12,510,5,available
129,3,10,711,7,available
130,3,12,312,3,available
131,3,11,213,2,available
132,3,10,314,3,occupied
133,3,10,815,8,available
134,3,8,916,9,available
135,3,12,417,4,available
136,3,9,118,1,available
137,3,10,919,9,available
138,3,9,1000,10,occupied
139,3,12,101,1,occupied
140,3,10,902,9,available
141,3,12,303,3,available
142,3,8,1104,11,available
143,3,12,405,4,occupied
144,3,9,906,9,occupied
145,3,12,707,7,occupied
146,3,10,108,1,maintenance
147,3,11,509,5,available
148,3,12,710,7,occupied
149,3,11,611,6,available
150,3,10,112,1,available
151,3,12,1113,11,available
152,3,12,1014,10,maintenance
153,3,8,715,7,available
154,3,11,316,3,occupied
155,3,9,717,7,occupied
156,3,11,718,7,available
157,3,9,619,6,available
158,3,10,300,3,occupied
159,3,8,1201,12,occupied
160,3,9,402,4,available
161,3,10,603,6,available
162,4,17,500,5,available
163,4,17,801,8,available
164,4,16,502,5,occupied
165,4,17,1203,12,available
166,4,14,204,2,occupied
167,4,15,505,5,occupied
168,4,13,706,7,occupied
169,4,15,207,2,available
170,4,16,1008,10,available
171,4,16,509,5,available
172,4,13,210,2,maintenance
173,4,17,1011,10,occupied
174,4,14,1112,11,available
175,4,16,713,7,available
176,4,13,514,5,occupied
177,4,15,515,5,available
178,4,15,716,7,available
179,4,15,617,6,available
180,4,13,1218,12,occupied
181,4,14,1019,10,available
182,4,17,700,7,available
