pricing_id,room_type_id,season_name,start_date,end_date,price_multiplier
1,1,Peak,2025-06-01,2025-08-31,1.35
2,1,Holiday,2025-12-16,2026-01-15,1.6
3,1,Regular,2025-09-01,2025-10-31,1.0
4,2,Holiday,2025-12-16,2026-01-15,1.6
5,2,Peak,2025-06-01,2025-08-31,1.35
6,2,Regular,2025-03-02,2025-05-31,1.0
7,3,Off-Peak,2025-11-01,2025-12-15,0.85
8,3,Peak,2025-06-01,2025-08-31,1.35
9,3,Regular,2025-03-02,2025-05-31,1.0
10,4,Regular,2025-03-02,2025-05-31,1.0
11,4,Holiday,2025-12-16,2026-01-15,1.6
12,4,Peak,2025-06-01,2025-08-31,1.35
13,5,Off-Peak,2025-01-15,2025-03-01,0.85
14,5,Peak,2025-06-01,2025-08-31,1.35
15,5,Regular,2025-03-02,2025-05-31,1.0
16,6,Regular,2025-03-02,2025-05-31,1.0
17,6,Holiday,2025-12-16,2026-01-15,1.6
18,6,Off-Peak,2025-11-01,2025-12-15,0.85
19,7,Holiday,2025-12-16,2026-01-15,1.6
20,7,Off-Peak,2025-01-15,2025-03-01,0.85
21,7,Regular,2025-09-01,2025-10-31,1.0
22,8,Regular,2025-03-02,2025-05-31,1.0
23,8,Peak,2025-06-01,2025-08-31,1.35
24,8,Holiday,2025-12-16,2026-01-15,1.6
25,9,Regular,2025-09-01,2025-10-31,1.0
26,9,Off-Peak,2025-01-15,2025-03-01,0.85
27,9,Peak,2025-06-01,2025-08-31,1.35
28,10,Regular,2025-03-02,2025-05-31,1.0
29,10,Peak,2025-06-01,2025-08-31,1.35
30,10,Off-Peak,2025-11-01,2025-12-15,0.85
31,11,Regular,2025-03-02,2025-05-31,1.0
32,11,Peak,2025-06-01,2025-08-31,1.35
33,11,Holiday,2025-12-16,2026-01-15,1.6
34,12,Holiday,2025-12-16,2026-01-15,1.6
35,12,Off-Peak,2025-01-15,2025-03-01,0.85
36,12,Regular,2025-09-01,2025-10-31,1.0
37,13,Holiday,2025-12-16,2026-01-15,1.6
38,13,Off-Peak,2025-11-01,2025-12-15,0.85
39,13,Peak,2025-06-01,2025-08-31,1.35
40,14,Off-Peak,2025-01-15,2025-03-01,0.85
41,14,Holiday,2025-12-16,2026-01-15,1.6
42,14,Peak,2025-06-01,2025-08-31,1.35
43,15,Regular,2025-03-02,2025-05-31,1.0
44,15,Off-Peak,2025-01-15,2025-03-01,0.85
45,15,Holiday,2025-12-16,2026-01-15,1.6
46,16,Regular,2025-03-02,2025-05-31,1.0
47,16,Holiday,2025-12-16,2026-01-15,1.6
48,16,Peak,2025-06-01,2025-08-31,1.35
49,17,Holiday,2025-12-16,2026-01-15,1.6
50,17,Off-Peak,2025-01-15,2025-03-01,0.85
51,17,Peak,2025-06-01,2025-08-31,1.35
52,18,Holiday,2025-12-16,2026-01-15,1.6
53,18,Regular,2025-09-01,2025-10-31,1.0
54,18,Off-Peak,2025-11-01,2025-12-15,0.85
55,19,Holiday,2025-12-16,2026-01-15,1.6
56,19,Off-Peak,2025-11-01,2025-12-15,0.85
57,19,Regular,2025-09-01,2025-10-31,1.0
58,20,Regular,2025-03-02,2025-05-31,1.0
59,20,Holiday,2025-12-16,2026-01-15,1.6
60,20,Peak,2025-06-01,2025-08-31,1.35
61,21,Off-Peak,2025-01-15,2025-03-01,0.85
62,21,Peak,2025-06-01,2025-08-31,1.35
63,21,Regular,2025-03-02,2025-05-31,1.0
64,22,Regular,2025-03-02,2025-05-31,1.0
65,22,Holiday,2025-12-16,2026-01-15,1.6
66,22,Peak,2025-06-01,2025-08-31,1.35
67,23,Regular,2025-03-02,2025-05-31,1.0
68,23,Off-Peak,2025-01-15,2025-03-01,0.85
69,23,Peak,2025-06-01,2025-08-31,1.35
70,24,Off-Peak,2025-11-01,2025-12-15,0.85
71,24,Holiday,2025-12-16,2026-01-15,1.6
72,24,Regular,2025-09-01,2025-10-31,1.0
73,25,Peak,2025-06-01,2025-08-31,1.35
74,25,Off-Peak,2025-11-01,2025-12-15,0.85
75,25,Holiday,2025-12-16,2026-01-15,1.6
76,26,Peak,2025-06-01,2025-08-31,1.35
77,26,Regular,2025-09-01,2025-10-31,1.0
78,26,Off-Peak,2025-01-15,2025-03-01,0.85
79,27,Holiday,2025-12-16,2026-01-15,1.6
80,27,Regular,2025-09-01,2025-10-31,1.0
81,27,Peak,2025-06-01,2025-08-31,1.35
82,28,Off-Peak,2025-11-01,2025-12-15,0.85
83,28,Regular,2025-09-01,2025-10-31,1.0
84,28,Holiday,2025-12-16,2026-01-15,1.6
85,29,Off-Peak,2025-01-15,2025-03-01,0.85
86,29,Regular,2025-09-01,2025-10-31,1.0
87,29,Peak,2025-06-01,2025-08-31,1.35
88,30,Peak,2025-06-01,2025-08-31,1.35
89,30,Off-Peak,2025-01-15,2025-03-01,0.85
90,30,Regular,2025-09-01,2025-10-31,1.0
91,31,Regular,2025-03-02,2025-05-31,1.0
92,31,Off-Peak,2025-01-15,2025-03-01,0.85
93,31,Holiday,2025-12-16,2026-01-15,1.6
94,32,Peak,2025-06-01,2025-08-31,1.35
95,32,Holiday,2025-12-16,2026-01-15,1.6
96,32,Off-Peak,2025-11-01,2025-12-15,0.85
97,33,Peak,2025-06-01,2025-08-31,1.35
98,33,Off-Peak,2025-01-15,2025-03-01,0.85
99,33,Regular,2025-09-01,2025-10-31,1.0
100,34,Peak,2025-06-01,2025-08-31,1.35
101,34,Regular,2025-09-01,2025-10-31,1.0
102,34,Holiday,2025-12-16,2026-01-15,1.6
103,35,Holiday,2025-12-16,2026-01-15,1.6
104,35,Peak,2025-06-01,2025-08-31,1.35
105,35,Off-Peak,2025-11-01,2025-12-15,0.85
106,36,Peak,2025-06-01,2025-08-31,1.35
107,36,Holiday,2025-12-16,2026-01-15,1.6
108,36,Off-Peak,2025-11-01,2025-12-15,0.85
109,37,Off-Peak,2025-01-15,2025-03-01,0.85
110,37,Regular,2025-03-02,2025-05-31,1.0
111,37,Peak,2025-06-01,2025-08-31,1.35
112,38,Peak,2025-06-01,2025-08-31,1.35
113,38,Off-Peak,2025-11-01,2025-12-15,0.85
114,38,Holiday,2025-12-16,2026-01-15,1.6
115,39,Peak,2025-06-01,2025-08-31,1.35
116,39,Holiday,2025-12-16,2026-01-15,1.6
117,39,Regular,2025-03-02,2025-05-31,1.0
118,40,Off-Peak,2025-01-15,2025-03-01,0.85
119,40,Regular,2025-09-01,2025-10-31,1.0
120,40,Peak,2025-06-01,2025-08-31,1.35
121,41,Off-Peak,2025-11-01,2025-12-15,0.85
122,41,Peak,2025-06-01,2025-08-31,1.35
123,41,Holiday,2025-12-16,2026-01-15,1.6
124,42,Holiday,2025-12-16,2026-01-15,1.6
125,42,Off-Peak,2025-11-01,2025-12-15,0.85
126,42,Regular,2025-03-02,2025-05-31,1.0
127,43,Peak,2025-06-01,2025-08-31,1.35
128,43,Off-Peak,2025-11-01,2025-12-15,0.85
129,43,Regular,2025-03-02,2025-05-31,1.0
130,44,Holiday,2025-12-16,2026-01-15,1.6
131,44,Off-Peak,2025-01-15,2025-03-01,0.85
132,44,Regular,2025-09-01,2025-10-31,1.0
133,45,Peak,2025-06-01,2025-08-31,1.35
134,45,Regular,2025-09-01,2025-10-31,1.0
135,45,Holiday,2025-12-16,2026-01-15,1.6
136,46,Holiday,2025-12-16,2026-01-15,1.6
137,46,Off-Peak,2025-11-01,2025-12-15,0.85
138,46,Regular,2025-09-01,2025-10-31,1.0
139,47,Off-Peak,2025-01-15,2025-03-01,0.85
140,47,Peak,2025-06-01,2025-08-31,1.35
141,47,Regular,2025-03-02,2025-05-31,1.0
142,48,Holiday,2025-12-16,2026-01-15,1.6
143,48,Regular,2025-03-02,2025-05-31,1.0
144,48,Off-Peak,2025-11-01,2025-12-15,0.85
145,49,Peak,2025-06-01,2025-08-31,1.35
146,49,Off-Peak,2025-01-15,2025-03-01,0.85
147,49,Regular,2025-09-01,2025-10-31,1.0
148,50,Regular,2025-09-01,2025-10-31,1.0
149,50,Holiday,2025-12-16,2026-01-15,1.6
150,50,Peak,2025-06-01,2025-08-31,1.35
151,51,Off-Peak,2025-11-01,2025-12-15,0.85
152,51,Holiday,2025-12-16,2026-01-15,1.6
153,51,Peak,2025-06-01,2025-08-31,1.35
154,52,Regular,2025-09-01,2025-10-31,1.0
155,52,Off-Peak,2025-11-01,2025-12-15,0.85
156,52,Peak,2025-06-01,2025-08-31,1.35
157,53,Regular,2025-09-01,2025-10-31,1.0
158,53,Off-Peak,2025-01-15,2025-03-01,0.85
159,53,Holiday,2025-12-16,2026-01-15,1.6
