"hotel_id","name","total_revenue"
23,Peterson Inn,1008466.35
18,Lawrence Suites,991075.15
24,Moore Inn,989020.91
30,Munoz Grand Hotel,982172.37
56,Lynch Inn,917814.51
15,Santos Inn,914262.68
48,Ramirez Resort & Spa,893489.04
50,Diaz Resort & Spa,892528.29
39,Hensley Resort & Spa,891327.66
12,Wagner Resort & Spa,878542.00
19,Pacheco Suites,847030.64
5,Doyle Grand Hotel,838301.41
43,Perez Suites,831280.92
55,Wong Inn,828671.08
36,Arnold Resort & Spa,826151.58
20,Smith Grand Hotel,815039.51
45,Miller Grand Hotel,810664.01
58,Daniel Suites,809427.62
51,Wood Inn,806820.74
37,Calderon Inn,805968.90
7,Mcclain Suites,797784.26
3,Hill Grand Hotel,789306.66
14,Gonzalez Inn,784920.18
38,Montgomery Suites,766826.38
41,Bush Resort & Spa,752610.26
52,Clark Suites,731184.18
4,Walker Suites,723534.13
29,Abbott Suites,719126.23
34,Dudley Plaza Hotel,700342.42
9,Henderson Suites,695657.23
1,Fowler Grand Hotel,676802.18
11,Robinson Plaza Hotel,676135.64
31,Roman Inn,670837.95
59,Martin Plaza Hotel,653511.39
16,Gardner Plaza Hotel,649634.73
32,Blair Resort & Spa,647001.46
10,Johnson Grand Hotel,617650.48
2,Johnson Resort & Spa,617506.58
8,Miller Suites,613509.43
13,Johnson Grand Hotel,607128.56
35,Gray Plaza Hotel,601312.46
22,Wolfe Resort & Spa,598475.95
42,Williams Suites,593919.34
25,Bernard Resort & Spa,587264.90
27,Davis Suites,571780.82
44,Roberts Inn,566959.11
6,Rhodes Resort & Spa,565110.81
40,Ray Grand Hotel,548005.39
57,Jackson Inn,546183.64
33,Herrera Inn,531489.33
46,Hall Suites,529996.24
26,Rogers Grand Hotel,525270.42
60,Gray Suites,518562.83
49,Reid Inn,515480.63
17,Robinson Plaza Hotel,513768.45
54,Zuniga Suites,503881.08
21,Shaffer Inn,497304.59
53,Adams Resort & Spa,472543.55
47,Garcia Inn,465502.79
28,Davis Plaza Hotel,406761.04
