"hotel_id","name","avg_rating","num_reviews"
21,Shaffer Inn,4.09,288
6,Rhodes Resort & Spa,4.01,297
2,Johnson Resort & Spa,3.99,320
12,Wagner Resort & Spa,3.98,320
15,Santos Inn,3.97,287
58,Daniel Suites,3.97,294
4,Walker Suites,3.96,309
55,Wong Inn,3.94,307
57,Jackson Inn,3.93,321
11,Robinson Plaza Hotel,3.93,324
19,Pacheco Suites,3.93,334
7,Mcclain Suites,3.92,302
26,Rogers Grand Hotel,3.92,300
45,Miller Grand Hotel,3.91,300
18,Lawrence Suites,3.91,309
1,Fowler Grand Hotel,3.91,317
33,Herrera Inn,3.91,313
23,Peterson Inn,3.90,305
5,Doyle Grand Hotel,3.90,299
29,Abbott Suites,3.89,314
34,Dudley Plaza Hotel,3.89,333
56,Lynch Inn,3.89,317
44,Roberts Inn,3.88,332
20,Smith Grand Hotel,3.88,311
3,Hill Grand Hotel,3.87,316
51,Wood Inn,3.87,333
10,Johnson Grand Hotel,3.87,349
35,Gray Plaza Hotel,3.87,296
22,Wolfe Resort & Spa,3.87,308
16,Gardner Plaza Hotel,3.87,319
24,Moore Inn,3.87,323
25,Bernard Resort & Spa,3.87,294
49,Reid Inn,3.87,281
8,Miller Suites,3.86,331
32,Blair Resort & Spa,3.86,292
60,Gray Suites,3.86,301
14,Gonzalez Inn,3.86,311
28,Davis Plaza Hotel,3.85,310
53,Adams Resort & Spa,3.84,283
43,Perez Suites,3.84,309
17,Robinson Plaza Hotel,3.83,305
40,Ray Grand Hotel,3.83,324
46,Hall Suites,3.83,326
30,Munoz Grand Hotel,3.83,332
31,Roman Inn,3.83,281
52,Clark Suites,3.82,319
9,Henderson Suites,3.82,294
59,Martin Plaza Hotel,3.80,299
38,Montgomery Suites,3.80,317
54,Zuniga Suites,3.79,343
42,Williams Suites,3.79,288
27,Davis Suites,3.79,312
50,Diaz Resort & Spa,3.79,322
39,Hensley Resort & Spa,3.77,335
41,Bush Resort & Spa,3.75,295
36,Arnold Resort & Spa,3.75,306
13,Johnson Grand Hotel,3.75,297
37,Calderon Inn,3.74,309
48,Ramirez Resort & Spa,3.71,323
47,Garcia Inn,3.63,283
