"booking_month","total_bookings"
2021-01-01,984
2021-02-01,770
2021-03-01,911
2021-04-01,862
2021-05-01,913
2021-06-01,901
2021-07-01,960
2021-08-01,962
2021-09-01,884
2021-10-01,952
2021-11-01,914
2021-12-01,985
2022-01-01,942
2022-02-01,831
2022-03-01,945
2022-04-01,976
2022-05-01,935
2022-06-01,897
2022-07-01,893
2022-08-01,933
2022-09-01,903
2022-10-01,904
2022-11-01,916
2022-12-01,946
2023-01-01,915
2023-02-01,868
2023-03-01,931
2023-04-01,936
2023-05-01,973
2023-06-01,899
2023-07-01,878
2023-08-01,943
2023-09-01,896
2023-10-01,928
2023-11-01,936
2023-12-01,926
2024-01-01,972
2024-02-01,834
2024-03-01,905
2024-04-01,941
2024-05-01,885
2024-06-01,927
2024-07-01,910
2024-08-01,917
2024-09-01,935
2024-10-01,952
2024-11-01,917
2024-12-01,942
2025-01-01,890
2025-02-01,799
2025-03-01,934
2025-04-01,876
2025-05-01,961
2025-06-01,929
2025-07-01,938
2025-08-01,917
2025-09-01,938
2025-10-01,966
2025-11-01,874
2025-12-01,893
