"hotel_name","type_name","revenue"
Abbott Suites,Suite,257649.96
Abbott Suites,Deluxe,198009.45
Abbott Suites,Family Room,153617.18
Abbott Suites,Double,72780.46
Abbott Suites,Single,37069.18
Adams Resort & Spa,Deluxe,239730.32
Adams Resort & Spa,Suite,147175.68
Adams Resort & Spa,Single,85637.55
Arnold Resort & Spa,Executive Suite,500332.63
Arnold Resort & Spa,Double,117279.85
Arnold Resort & Spa,Deluxe,112085.62
Arnold Resort & Spa,Family Room,96453.48
Bernard Resort & Spa,Deluxe,241837.09
Bernard Resort & Spa,Suite,193112.77
Bernard Resort & Spa,Double,152315.04
Blair Resort & Spa,Family Room,266859.25
Blair Resort & Spa,Deluxe,191357.94
Blair Resort & Spa,Suite,188784.27
Bush Resort & Spa,Executive Suite,465845.99
Bush Resort & Spa,Deluxe,154867.05
Bush Resort & Spa,Double,131897.22
Calderon Inn,Executive Suite,524633.26
Calderon Inn,Deluxe,165984.87
Calderon Inn,Double,115350.77
Clark Suites,Suite,434698.79
Clark Suites,Deluxe,223346.82
Clark Suites,Single,73138.57
Daniel Suites,Executive Suite,405354.43
Daniel Suites,Family Room,262066.20
Daniel Suites,Single,76378.95
Daniel Suites,Suite,65628.04
Davis Plaza Hotel,Suite,174879.99
Davis Plaza Hotel,Double,154283.34
Davis Plaza Hotel,Single,77597.71
Davis Suites,Suite,283680.25
Davis Suites,Double,165681.81
Davis Suites,Single,122418.76
Diaz Resort & Spa,Executive Suite,319500.50
Diaz Resort & Spa,Suite,254222.26
Diaz Resort & Spa,Deluxe,182221.04
Diaz Resort & Spa,Family Room,136584.49
Doyle Grand Hotel,Executive Suite,511282.40
Doyle Grand Hotel,Suite,253291.75
Doyle Grand Hotel,Single,73727.26
Dudley Plaza Hotel,Family Room,304486.19
Dudley Plaza Hotel,Double,165807.44
Dudley Plaza Hotel,Deluxe,136216.35
Dudley Plaza Hotel,Suite,93832.44
Fowler Grand Hotel,Executive Suite,308748.99
Fowler Grand Hotel,Deluxe,230435.12
Fowler Grand Hotel,Double,137618.07
Garcia Inn,Deluxe,267397.92
Garcia Inn,Double,109861.68
Garcia Inn,Single,88243.19
Gardner Plaza Hotel,Family Room,229575.45
Gardner Plaza Hotel,Suite,176405.59
Gardner Plaza Hotel,Deluxe,151606.38
Gardner Plaza Hotel,Single,92047.31
Gonzalez Inn,Executive Suite,409970.81
Gonzalez Inn,Deluxe,204582.71
Gonzalez Inn,Family Room,86937.73
Gonzalez Inn,Single,83428.93
Gray Plaza Hotel,Executive Suite,353496.10
Gray Plaza Hotel,Deluxe,148899.49
Gray Plaza Hotel,Single,98916.87
Gray Suites,Family Room,239650.95
Gray Suites,Deluxe,132077.21
Gray Suites,Double,94526.35
Gray Suites,Single,52308.32
Hall Suites,Deluxe,141785.78
Hall Suites,Double,132173.43
Hall Suites,Family Room,117165.30
Hall Suites,Suite,105404.15
Hall Suites,Single,33467.58
Henderson Suites,Suite,280732.24
Henderson Suites,Family Room,152190.95
Henderson Suites,Double,132950.76
Henderson Suites,Deluxe,129783.28
Hensley Resort & Spa,Executive Suite,399867.49
Hensley Resort & Spa,Suite,173174.00
Hensley Resort & Spa,Family Room,139611.67
Hensley Resort & Spa,Deluxe,108360.70
Hensley Resort & Spa,Single,70313.80
Herrera Inn,Family Room,214384.31
Herrera Inn,Deluxe,185642.83
Herrera Inn,Single,75975.47
Herrera Inn,Double,55486.72
Hill Grand Hotel,Executive Suite,401095.07
Hill Grand Hotel,Suite,205422.60
Hill Grand Hotel,Deluxe,92590.82
