"hotel_id","name","avg_nights_stayed"
15,Santos Inn,3.92
8,Miller Suites,3.89
56,Lynch Inn,3.87
42,Williams Suites,3.86
49,Reid Inn,3.85
51,Wood Inn,3.85
18,Lawrence Suites,3.84
54,Zuniga Suites,3.82
37,Calderon Inn,3.82
7,Mcclain Suites,3.82
48,Ramirez Resort & Spa,3.81
34,Dudley Plaza Hotel,3.81
32,Blair Resort & Spa,3.81
6,Rhodes Resort & Spa,3.81
35,Gray Plaza Hotel,3.80
1,Fowler Grand Hotel,3.79
19,Pacheco Suites,3.79
9,Henderson Suites,3.79
45,Miller Grand Hotel,3.78
40,Ray Grand Hotel,3.77
24,Moore Inn,3.76
44,Roberts Inn,3.75
26,Rogers Grand Hotel,3.75
14,Gonzalez Inn,3.74
20,Smith Grand Hotel,3.73
53,Adams Resort & Spa,3.73
4,Walker Suites,3.73
16,Gardner Plaza Hotel,3.72
13,Johnson Grand Hotel,3.72
22,Wolfe Resort & Spa,3.72
12,Wagner Resort & Spa,3.71
23,Peterson Inn,3.71
33,Herrera Inn,3.71
17,Robinson Plaza Hotel,3.71
36,Arnold Resort & Spa,3.71
39,Hensley Resort & Spa,3.71
38,Montgomery Suites,3.69
5,Doyle Grand Hotel,3.68
50,Diaz Resort & Spa,3.68
52,Clark Suites,3.68
30,Munoz Grand Hotel,3.67
41,Bush Resort & Spa,3.66
28,Davis Plaza Hotel,3.66
57,Jackson Inn,3.66
21,Shaffer Inn,3.65
2,Johnson Resort & Spa,3.65
46,Hall Suites,3.65
29,Abbott Suites,3.65
47,Garcia Inn,3.64
25,Bernard Resort & Spa,3.64
58,Daniel Suites,3.64
11,Robinson Plaza Hotel,3.63
31,Roman Inn,3.62
3,Hill Grand Hotel,3.62
10,Johnson Grand Hotel,3.61
55,Wong Inn,3.59
43,Perez Suites,3.59
27,Davis Suites,3.58
60,Gray Suites,3.58
59,Martin Plaza Hotel,3.52
