"state","name","revenue","state_rank"
Arizona,Diaz Resort & Spa,892528.29,1
Arizona,Gray Suites,518562.83,2
Arizona,Zuniga Suites,503881.08,3
Arizona,Shaffer Inn,497304.59,4
Arizona,Garcia Inn,465502.79,5
California,Lynch Inn,917814.51,1
California,Smith Grand Hotel,815039.51,2
California,Wood Inn,806820.74,3
California,Mcclain Suites,797784.26,4
California,Gonzalez Inn,784920.18,5
California,Roman Inn,670837.95,6
California,Martin Plaza Hotel,653511.39,7
California,Blair Resort & Spa,647001.46,8
California,Ray Grand Hotel,548005.39,9
California,Hall Suites,529996.24,10
Colorado,Fowler Grand Hotel,676802.18,1
Colorado,Miller Suites,613509.43,2
Colorado,Gray Plaza Hotel,601312.46,3
Florida,Peterson Inn,1008466.35,1
Florida,Ramirez Resort & Spa,893489.04,2
Florida,Doyle Grand Hotel,838301.41,3
Florida,Perez Suites,831280.92,4
Florida,Montgomery Suites,766826.38,5
Florida,Dudley Plaza Hotel,700342.42,6
Florida,Henderson Suites,695657.23,7
Florida,Williams Suites,593919.34,8
Georgia,Moore Inn,989020.91,1
Georgia,Miller Grand Hotel,810664.01,2
Georgia,Johnson Grand Hotel,617650.48,3
Georgia,Wolfe Resort & Spa,598475.95,4
Georgia,Jackson Inn,546183.64,5
Illinois,Calderon Inn,805968.90,1
Illinois,Clark Suites,731184.18,2
Illinois,Roberts Inn,566959.11,3
Massachusetts,Walker Suites,723534.13,1
Massachusetts,Abbott Suites,719126.23,2
Massachusetts,Robinson Plaza Hotel,513768.45,3
Nevada,Santos Inn,914262.68,1
Nevada,Wong Inn,828671.08,2
Nevada,Herrera Inn,531489.33,3
New York,Hensley Resort & Spa,891327.66,1
New York,Wagner Resort & Spa,878542.00,2
New York,Arnold Resort & Spa,826151.58,3
New York,Daniel Suites,809427.62,4
New York,Bush Resort & Spa,752610.26,5
New York,Robinson Plaza Hotel,676135.64,6
New York,Davis Suites,571780.82,7
New York,Rhodes Resort & Spa,565110.81,8
New York,Davis Plaza Hotel,406761.04,9
Texas,Lawrence Suites,991075.15,1
Texas,Munoz Grand Hotel,982172.37,2
Texas,Pacheco Suites,847030.64,3
Texas,Johnson Resort & Spa,617506.58,4
Texas,Johnson Grand Hotel,607128.56,5
Texas,Bernard Resort & Spa,587264.90,6
Texas,Adams Resort & Spa,472543.55,7
Washington,Hill Grand Hotel,789306.66,1
Washington,Gardner Plaza Hotel,649634.73,2
Washington,Rogers Grand Hotel,525270.42,3
Washington,Reid Inn,515480.63,4
