"hotel_id","check_in_date","bookings_that_day","running_total_2025"
1,2025-01-03,1,1
1,2025-01-05,1,2
1,2025-01-06,1,3
1,2025-01-10,1,4
1,2025-01-14,1,5
1,2025-01-15,1,6
1,2025-01-18,2,8
1,2025-01-29,2,10
1,2025-02-01,1,11
1,2025-02-05,3,14
1,2025-02-09,1,15
1,2025-02-10,1,16
1,2025-02-11,2,18
1,2025-02-15,2,20
1,2025-02-16,2,22
1,2025-02-19,1,23
1,2025-02-20,3,26
1,2025-02-26,1,27
1,2025-03-06,1,28
1,2025-03-07,2,30
1,2025-03-09,1,31
1,2025-03-13,1,32
1,2025-03-14,1,33
1,2025-03-17,1,34
1,2025-03-23,2,36
1,2025-03-24,1,37
1,2025-03-25,2,39
1,2025-03-27,1,40
1,2025-03-30,1,41
1,2025-03-31,1,42
1,2025-04-01,1,43
1,2025-04-02,2,45
1,2025-04-03,1,46
1,2025-04-04,1,47
1,2025-04-22,1,48
1,2025-04-23,1,49
1,2025-04-25,1,50
1,2025-04-26,2,52
1,2025-05-04,1,53
1,2025-05-07,1,54
1,2025-05-09,1,55
1,2025-05-14,1,56
1,2025-05-15,1,57
1,2025-05-17,1,58
1,2025-05-20,2,60
1,2025-05-21,1,61
1,2025-05-31,1,62
1,2025-06-01,1,63
1,2025-06-04,3,66
1,2025-06-10,1,67
1,2025-06-12,2,69
1,2025-06-13,1,70
1,2025-06-14,1,71
1,2025-06-15,1,72
1,2025-06-18,2,74
1,2025-06-22,1,75
1,2025-06-24,1,76
1,2025-06-26,2,78
1,2025-06-30,1,79
1,2025-07-03,1,80
1,2025-07-05,1,81
1,2025-07-06,1,82
1,2025-07-07,3,85
1,2025-07-14,1,86
1,2025-07-16,1,87
1,2025-07-20,1,88
1,2025-07-21,4,92
1,2025-07-23,2,94
1,2025-07-25,1,95
1,2025-07-26,1,96
1,2025-07-27,1,97
1,2025-07-29,1,98
1,2025-08-01,1,99
1,2025-08-03,1,100
1,2025-08-04,1,101
1,2025-08-06,1,102
1,2025-08-11,1,103
1,2025-08-13,2,105
1,2025-08-18,1,106
1,2025-08-20,2,108
1,2025-08-25,4,112
1,2025-08-30,1,113
1,2025-08-31,1,114
1,2025-09-04,1,115
1,2025-09-06,1,116
1,2025-09-08,1,117
1,2025-09-10,2,119
1,2025-09-11,1,120
1,2025-09-15,1,121
1,2025-09-20,1,122
1,2025-09-22,3,125
1,2025-09-24,2,127
1,2025-09-29,1,128
1,2025-09-30,1,129
1,2025-10-04,1,130
1,2025-10-05,1,131
1,2025-10-08,2,133
1,2025-10-09,2,135
1,2025-10-10,1,136
1,2025-10-11,4,140
1,2025-10-14,2,142
1,2025-10-15,1,143
1,2025-10-22,1,144
1,2025-10-24,1,145
1,2025-10-26,1,146
1,2025-10-27,1,147
1,2025-10-30,2,149
1,2025-11-01,1,150
1,2025-11-07,2,152
1,2025-11-08,2,154
1,2025-11-14,1,155
1,2025-11-15,2,157
1,2025-11-18,1,158
1,2025-11-19,1,159
1,2025-11-23,1,160
1,2025-11-24,1,161
1,2025-11-25,1,162
1,2025-11-27,2,164
1,2025-11-30,1,165
1,2025-12-01,2,167
1,2025-12-03,1,168
1,2025-12-06,2,170
1,2025-12-08,1,171
1,2025-12-12,1,172
1,2025-12-16,1,173
1,2025-12-18,1,174
1,2025-12-24,2,176
1,2025-12-25,2,178
1,2025-12-28,2,180
1,2025-12-29,1,181
2,2025-01-01,1,1
2,2025-01-03,1,2
2,2025-01-04,1,3
2,2025-01-06,1,4
2,2025-01-12,1,5
2,2025-01-13,1,6
2,2025-01-14,1,7
2,2025-01-16,1,8
2,2025-01-17,1,9
2,2025-01-21,1,10
2,2025-01-22,1,11
2,2025-01-23,1,12
2,2025-02-07,1,13
2,2025-02-09,1,14
2,2025-02-11,1,15
2,2025-02-13,1,16
2,2025-02-15,1,17
2,2025-02-24,2,19
2,2025-02-26,1,20
2,2025-02-27,2,22
2,2025-02-28,1,23
2,2025-03-06,1,24
2,2025-03-09,1,25
2,2025-03-11,1,26
2,2025-03-15,1,27
2,2025-03-17,1,28
2,2025-03-22,1,29
2,2025-03-24,1,30
2,2025-03-26,2,32
2,2025-03-30,1,33
2,2025-03-31,1,34
2,2025-04-01,1,35
2,2025-04-07,1,36
2,2025-04-10,1,37
2,2025-04-11,1,38
2,2025-04-12,1,39
2,2025-04-13,1,40
2,2025-04-14,1,41
2,2025-04-15,2,43
2,2025-04-18,2,45
2,2025-04-23,1,46
2,2025-04-26,1,47
2,2025-04-27,1,48
2,2025-04-29,2,50
2,2025-04-30,1,51
2,2025-05-01,1,52
2,2025-05-02,1,53
2,2025-05-04,1,54
2,2025-05-08,1,55
2,2025-05-13,1,56
2,2025-05-14,1,57
2,2025-05-15,3,60
2,2025-05-17,2,62
2,2025-05-18,1,63
2,2025-05-19,1,64
2,2025-05-22,1,65
2,2025-05-24,1,66
2,2025-05-25,1,67
2,2025-05-26,1,68
2,2025-05-27,1,69
2,2025-05-29,1,70
2,2025-06-02,1,71
2,2025-06-04,1,72
2,2025-06-07,1,73
2,2025-06-08,2,75
2,2025-06-10,2,77
2,2025-06-12,1,78
2,2025-06-13,1,79
2,2025-06-18,2,81
2,2025-06-21,1,82
2,2025-06-22,1,83
2,2025-06-24,2,85
2,2025-06-26,1,86
2,2025-07-01,1,87
2,2025-07-02,1,88
2,2025-07-03,2,90
2,2025-07-04,1,91
2,2025-07-05,1,92
2,2025-07-06,1,93
2,2025-07-08,1,94
2,2025-07-09,1,95
2,2025-07-11,1,96
2,2025-07-13,1,97
2,2025-07-17,1,98
2,2025-07-18,1,99
2,2025-07-20,1,100
2,2025-07-22,1,101
2,2025-07-26,1,102
2,2025-07-28,1,103
2,2025-07-29,1,104
2,2025-07-30,1,105
2,2025-07-31,1,106
2,2025-08-03,1,107
2,2025-08-07,1,108
2,2025-08-10,1,109
2,2025-08-12,1,110
2,2025-08-16,1,111
2,2025-08-22,1,112
2,2025-08-23,1,113
2,2025-08-26,1,114
2,2025-08-27,1,115
2,2025-08-30,2,117
2,2025-08-31,2,119
2,2025-09-02,1,120
2,2025-09-05,1,121
2,2025-09-09,1,122
2,2025-09-15,1,123
2,2025-09-16,1,124
2,2025-09-20,1,125
2,2025-09-24,2,127
2,2025-09-25,1,128
2,2025-09-26,1,129
2,2025-09-27,1,130
2,2025-09-29,1,131
2,2025-10-07,1,132
2,2025-10-13,2,134
2,2025-10-18,1,135
2,2025-10-21,1,136
2,2025-10-22,1,137
2,2025-10-23,2,139
2,2025-10-26,1,140
2,2025-10-27,2,142
2,2025-10-28,1,143
2,2025-10-29,1,144
2,2025-11-01,1,145
2,2025-11-04,1,146
2,2025-11-05,1,147
2,2025-11-17,3,150
2,2025-11-21,2,152
2,2025-11-25,1,153
2,2025-11-28,2,155
2,2025-11-30,1,156
2,2025-12-01,1,157
2,2025-12-03,1,158
2,2025-12-04,1,159
2,2025-12-06,1,160
2,2025-12-11,1,161
2,2025-12-12,1,162
2,2025-12-14,1,163
2,2025-12-19,2,165
2,2025-12-20,1,166
2,2025-12-21,1,167
2,2025-12-22,1,168
2,2025-12-23,1,169
2,2025-12-26,1,170
2,2025-12-28,1,171
3,2025-01-01,1,1
3,2025-01-08,1,2
3,2025-01-10,1,3
3,2025-01-11,1,4
3,2025-01-13,4,8
3,2025-01-14,2,10
3,2025-01-17,1,11
3,2025-01-20,1,12
3,2025-01-25,2,14
3,2025-01-27,1,15
3,2025-01-29,1,16
3,2025-01-30,1,17
3,2025-02-01,1,18
3,2025-02-05,2,20
3,2025-02-06,2,22
3,2025-02-15,1,23
3,2025-02-17,2,25
3,2025-02-19,1,26
3,2025-02-20,2,28
3,2025-02-21,2,30
3,2025-02-25,1,31
3,2025-02-26,1,32
3,2025-02-27,1,33
3,2025-03-02,1,34
3,2025-03-05,1,35
3,2025-03-06,1,36
3,2025-03-08,1,37
