"room_id","check_out_date","next_check_in","idle_days"
1706,2021-10-07,2024-11-06,1126
2121,2022-11-16,2025-10-17,1066
2659,2022-07-21,2025-05-25,1039
1591,2021-12-24,2024-10-09,1020
2102,2021-09-08,2024-06-15,1011
1606,2021-05-06,2024-02-10,1010
1913,2022-07-22,2025-04-18,1001
2474,2022-01-23,2024-10-05,986
917,2021-01-05,2023-09-11,979
1625,2021-06-08,2024-02-08,975
2517,2021-08-31,2024-04-28,971
2257,2022-03-20,2024-11-11,967
1358,2021-09-10,2024-04-17,950
2861,2021-07-27,2024-02-16,934
1287,2021-01-06,2023-07-27,932
421,2023-03-02,2025-09-17,930
1808,2021-07-07,2024-01-19,926
611,2022-07-04,2025-01-15,926
532,2023-03-03,2025-09-06,918
1123,2021-01-26,2023-07-28,913
