"hotel_id","name","revenue_2024","revenue_2025","yoy_change_pct"
27,Davis Suites,127457.16,86112.95,-32.44
51,Wood Inn,206865.22,141527.01,-31.58
5,Doyle Grand Hotel,217771.51,150066.56,-31.09
7,Mcclain Suites,172818.62,119558.76,-30.82
60,Gray Suites,121592.32,88183.36,-27.48
2,Johnson Resort & Spa,147411.90,112285.71,-23.83
13,Johnson Grand Hotel,135372.14,105290.32,-22.22
25,Bernard Resort & Spa,131803.69,103513.95,-21.46
33,Herrera Inn,122465.87,96909.91,-20.87
40,Ray Grand Hotel,99335.75,79566.86,-19.90
8,Miller Suites,121070.65,97566.02,-19.41
42,Williams Suites,124059.44,100320.18,-19.14
58,Daniel Suites,155047.20,125942.96,-18.77
22,Wolfe Resort & Spa,130388.66,107446.55,-17.60
6,Rhodes Resort & Spa,117249.43,97117.86,-17.17
30,Munoz Grand Hotel,214123.59,181464.46,-15.25
50,Diaz Resort & Spa,187159.73,158740.71,-15.18
12,Wagner Resort & Spa,161450.53,137967.21,-14.55
16,Gardner Plaza Hotel,142868.98,122907.53,-13.97
56,Lynch Inn,222558.70,191679.75,-13.87
39,Hensley Resort & Spa,185949.60,160495.52,-13.69
17,Robinson Plaza Hotel,97569.74,85084.31,-12.80
35,Gray Plaza Hotel,130275.78,115196.97,-11.57
11,Robinson Plaza Hotel,131479.98,117268.92,-10.81
34,Dudley Plaza Hotel,147561.59,131983.15,-10.56
29,Abbott Suites,146988.55,132752.56,-9.69
57,Jackson Inn,116181.67,105073.66,-9.56
15,Santos Inn,178631.69,164490.54,-7.92
38,Montgomery Suites,128332.55,118585.10,-7.60
31,Roman Inn,136846.11,126505.41,-7.56
44,Roberts Inn,107498.04,99690.58,-7.26
37,Calderon Inn,158436.72,147139.59,-7.13
54,Zuniga Suites,83298.69,77995.83,-6.37
10,Johnson Grand Hotel,133659.40,127376.07,-4.70
18,Lawrence Suites,201300.54,194508.23,-3.37
28,Davis Plaza Hotel,81376.68,78954.30,-2.98
43,Perez Suites,158104.52,154936.99,-2.00
47,Garcia Inn,89477.19,87736.10,-1.95
20,Smith Grand Hotel,160644.69,159528.11,-0.70
48,Ramirez Resort & Spa,167441.54,166780.42,-0.39
24,Moore Inn,193592.50,193225.94,-0.19
