"hotel_id","name","avg_payment_delay_days"
39,Hensley Resort & Spa,1.62
29,Abbott Suites,1.58
12,Wagner Resort & Spa,1.56
59,Martin Plaza Hotel,1.56
52,Clark Suites,1.56
17,Robinson Plaza Hotel,1.56
45,Miller Grand Hotel,1.55
41,Bush Resort & Spa,1.54
40,Ray Grand Hotel,1.54
10,Johnson Grand Hotel,1.54
53,Adams Resort & Spa,1.53
28,Davis Plaza Hotel,1.53
38,Montgomery Suites,1.53
37,Calderon Inn,1.52
14,Gonzalez Inn,1.52
35,Gray Plaza Hotel,1.52
51,Wood Inn,1.52
11,Robinson Plaza Hotel,1.52
26,Rogers Grand Hotel,1.52
2,Johnson Resort & Spa,1.51
55,Wong Inn,1.51
49,Reid Inn,1.51
22,Wolfe Resort & Spa,1.51
36,Arnold Resort & Spa,1.51
7,Mcclain Suites,1.51
60,Gray Suites,1.50
4,Walker Suites,1.50
6,Rhodes Resort & Spa,1.50
54,Zuniga Suites,1.50
16,Gardner Plaza Hotel,1.50
46,Hall Suites,1.50
32,Blair Resort & Spa,1.50
3,Hill Grand Hotel,1.50
5,Doyle Grand Hotel,1.50
58,Daniel Suites,1.50
8,Miller Suites,1.50
43,Perez Suites,1.49
13,Johnson Grand Hotel,1.49
18,Lawrence Suites,1.49
33,Herrera Inn,1.49
31,Roman Inn,1.49
30,Munoz Grand Hotel,1.49
20,Smith Grand Hotel,1.49
50,Diaz Resort & Spa,1.48
44,Roberts Inn,1.48
9,Henderson Suites,1.48
15,Santos Inn,1.48
42,Williams Suites,1.47
25,Bernard Resort & Spa,1.47
48,Ramirez Resort & Spa,1.47
47,Garcia Inn,1.47
1,Fowler Grand Hotel,1.47
23,Peterson Inn,1.47
24,Moore Inn,1.47
57,Jackson Inn,1.46
34,Dudley Plaza Hotel,1.46
27,Davis Suites,1.46
19,Pacheco Suites,1.44
21,Shaffer Inn,1.42
56,Lynch Inn,1.42
